State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted,,State,Shape,Duration,Posted
AK,Sphere,60+ minutes,12/20/00,,AL,Sphere,Unknown,8/7/11,,AR,Unknown,25 seconds,2/14/08,,AZ,Rectangle,5 seconds,6/13/14,,CA,Sphere,several minutes,2/6/15,,CO,Circle,1 minutes,10/23/13,,CT,Light,5 minutes,10/30/12,,,,,,,,,,,,FL,Fireball,20 seconds,1/7/15,,GA,Triangle,5-7 minutes,12/2/13,,HI,Light,2 minutes,1/31/04,,IA,Unknown,1 hr,11/21/10,,ID,Disk,6 mins,8/21/11,,IL,Unknown,7 minutes,10/14/13,,IN,Oval,1 minute,5/15/13,,KS,Fireball,3-5 min,6/9/09,,KY,Fireball,10 seconds,7/17/11,,LA,Oval,3min,12/12/09,,,,,,,,,,,,ME,Light,4-5 minutes total,8/24/10,,,,,,,,,,,,,,,,,MS,Disk,Less than 6 minutes,5/4/04,,,,,,,,,,,,,,,,,,,,,,NH,Sphere,10 minutes,8/24/10,,NJ,Light,15 minutes,9/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Disk,"1 hour, 11 minutes",3/21/14,,,,,,,,,,,,,,,,,,,,,,TN,Other,2 minutes,4/12/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Fireball,2 minutes,8/30/13,,,,,,,,,,
AK,Disk,20 seconds,5/13/12,,AL,Sphere,5 minutes,7/17/11,,AR,Diamond,3 MINUTES,3/10/11,,AZ,Egg,3 minutes,6/13/14,,CA,Unknown,still going,2/6/15,,CO,Circle,1 minute,10/23/13,,CT,Circle,10:30,10/30/12,,,,,,,,,,,,FL,Fireball,5 minutes,1/7/15,,GA,Sphere,5 minutes,12/2/13,,HI,Other,10 minutes,1/17/04,,IA,Other,2 hours,11/21/10,,ID,Triangle,2 minutes,8/21/11,,IL,Fireball,2 minutes,9/30/13,,IN,Sphere,1-2 minutes,5/15/13,,KS,Teardrop,just a couple seconds at,6/9/09,,KY,Fireball,5-minutes,7/17/11,,LA,Other,30 - 45 seconds,12/12/09,,,,,,,,,,,,ME,Disk,15 seconds,7/28/10,,,,,,,,,,,,,,,,,MS,Chevron,20 seconds,1/5/11,,,,,,,,,,,,,,,,,,,,,,NH,Triangle,30 min,8/24/10,,NJ,Sphere,3 seconds,11/11/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Triangle,Seconds,12/5/14,,,,,,,,,,,,,,,,,,,,,,TN,Formation,6 minutes,5/15/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Light,5 minutes,8/30/13,,,,,,,,,,
AK,Unknown,2-10 minutes,5/24/05,,AL,Circle,1hr 15min,8/7/11,,AR,Unknown,10 minutes,10/31/08,,AZ,Rectangle,2 minutes,6/13/14,,CA,Fireball,10 seconds,2/6/15,,CO,Changing,4 hours,10/23/13,,CT,Cross,3 minutes,10/30/12,,,,,,,,,,,,FL,Light,20 minutes,1/7/15,,GA,Circle,1 minute,11/20/13,,HI,Circle,10 min,1/22/04,,IA,Diamond,25 minutes,11/21/10,,ID,Light,25 seconds,8/7/11,,IL,Disk,30 seconds,9/30/13,,IN,Disk,30 seconds,5/15/13,,KS,Triangle,1-2 minutes,2/14/10,,KY,Circle,1 minute,7/6/11,,LA,Fireball,3 to4 min,8/27/09,,,,,,,,,,,,ME,Light,20 seconds,7/19/10,,,,,,,,,,,,,,,,,MS,Disk,30 minutes,5/24/05,,,,,,,,,,,,,,,,,,,,,,NH,Circle,2 hrs,8/24/10,,NJ,Oval,30 seconds,9/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Circle,10 minutes,3/18/14,,,,,,,,,,,,,,,,,,,,,,TN,Triangle,~2 minutes,5/15/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Formation,10 minutes,8/30/13,,,,,,,,,,
AK,Other,<5sec and many mins,12/2/00,,AL,Light,1 Hour +,8/7/11,,AR,Oval,a few minutes,3/4/08,,AZ,Light,1 hour,6/13/14,,CA,Disk,5 minutes,3/13/15,,CO,Light,15 seconds,12/23/13,,CT,Changing,5 minutes,10/30/12,,,,,,,,,,,,FL,Fireball,10 minutes,1/7/15,,GA,Fireball,7 minutes,11/20/13,,HI,Sphere,5 min,2/12/04,,IA,Triangle,about half a second,11/21/10,,ID,Triangle,10 minutes,8/7/11,,IL,Fireball,30 seconds,9/30/13,,IN,Triangle,10 seconds,5/15/13,,KS,Triangle,~15 minutes,4/14/09,,KY,Circle,30 minutes,7/17/11,,LA,Unknown,2.5 mins,8/5/09,,,,,,,,,,,,ME,Oval,20 seconds,7/19/10,,,,,,,,,,,,,,,,,MS,Changing,5-7 minutes,3/29/04,,,,,,,,,,,,,,,,,,,,,,NH,Light,3 seconds,8/24/10,,NJ,Other,~1hr+,9/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Light,10 minutes,3/18/14,,,,,,,,,,,,,,,,,,,,,,TN,Sphere,1 minute,5/15/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Light,5 minutes,8/30/13,,,,,,,,,,
AK,Light,8 hours,12/2/00,,AL,Fireball,3 mins,7/4/11,,AR,Oval,uncertain,3/4/08,,AZ,Light,15 minutes,6/27/14,,CA,Light,still there,2/6/15,,CO,Formation,15-30 seconds,12/23/13,,CT,Fireball,15 minutes,10/30/12,,,,,,,,,,,,FL,Fireball,15 minutes,1/7/15,,GA,Light,6 minutes,11/11/13,,HI,Circle,4 minutes,3/2/04,,IA,Other,8 seconds,11/21/10,,ID,Light,less than 30 seconds,8/7/11,,IL,Circle,2 minutes,9/30/13,,IN,Triangle,5-10 minutes,5/15/13,,KS,Circle,5-30 min,3/19/09,,KY,Light,15 minutes,7/6/11,,LA,Disk,5 minutes,8/5/09,,,,,,,,,,,,ME,Changing,2 min,11/21/10,,,,,,,,,,,,,,,,,MS,Triangle,20 minutes,7/8/04,,,,,,,,,,,,,,,,,,,,,,NH,Light,2:00,11/21/10,,NJ,Unknown,3 minutes,9/9/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Light,5-10 minutes,3/18/14,,,,,,,,,,,,,,,,,,,,,,TN,Sphere,5 minutes,5/15/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Flash,30 minutes,8/30/13,,,,,,,,,,
AK,,hour,12/23/02,,AL,Light,A few minutes,7/4/11,,AR,Light,5 minutes,1/21/08,,AZ,Triangle,6 minutes,6/6/14,,CA,Fireball,4 seconds,2/6/15,,CO,Oval,>15 minutes,10/14/13,,CT,Oval,5-7 minutes,10/30/12,,,,,,,,,,,,FL,Fireball,15 seconds,1/7/15,,GA,Fireball,5-10 minutes,11/11/13,,HI,Fireball,2.5 Hr.,4/30/04,,IA,Oval,3 hours,11/21/10,,ID,Triangle,20 minutes,8/7/11,,IL,Light,3-4 minutes,9/30/13,,,,,,,KS,Light,2 seconds,3/19/09,,KY,Circle,4 min,7/17/11,,LA,Fireball,4-5 seconds,8/5/09,,,,,,,,,,,,ME,Circle,5 seconds,7/6/10,,,,,,,,,,,,,,,,,MS,Light,10-15 min,3/9/04,,,,,,,,,,,,,,,,,,,,,,NH,Light,2 min,7/10/10,,NJ,Light,5:00,9/9/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Circle,1 minute,3/18/14,,,,,,,,,,,,,,,,,,,,,,TN,Triangle,2 minutes,6/2/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Rectangle,6 second,9/30/13,,,,,,,,,,
AK,Oval,?,6/6/00,,AL,Unknown,2 minutes,6/12/11,,AR,Chevron,00:15 Seconds,11/28/07,,AZ,Fireball,1 minute,6/13/14,,CA,Sphere,~15 minutes,2/6/15,,CO,Triangle,5 seconds,11/11/13,,CT,Unknown,7 minutes,10/30/12,,,,,,,,,,,,FL,Teardrop,3-5 minutes,1/7/15,,GA,Cigar,5 minutes,11/11/13,,HI,Other,several minutes,12/7/06,,IA,Circle,2-3 minutes,11/21/10,,ID,Fireball,2 mins,7/6/11,,IL,Triangle,1 minute,9/30/13,,,,,,,KS,Circle,5 minutes,3/19/09,,KY,Light,5-7 minutes,1/12/12,,LA,Triangle,5 minutes,12/23/13,,,,,,,,,,,,ME,Light,15 seconds,6/23/10,,,,,,,,,,,,,,,,,MS,Unknown,10 -15 mins,4/27/07,,,,,,,,,,,,,,,,,,,,,,NH,Cigar,2 minutes,7/6/10,,NJ,Fireball,3 minutes,9/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Fireball,2 minutes,3/18/14,,,,,,,,,,,,,,,,,,,,,,TN,Light,10 seconds,2/18/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Light,5-10 minutes,8/30/13,,,,,,,,,,
AK,Light,60 seconds,5/3/00,,AL,Unknown,10 seconds,5/29/11,,AR,Light,1hr 45min,11/28/07,,AZ,Sphere,10 minutes,7/26/14,,CA,Light,2 minutes,1/30/15,,CO,Circle,2 seconds,10/14/13,,CT,Oval,10 minutes,10/30/12,,,,,,,,,,,,FL,Fireball,7-8 minutes,1/7/15,,GA,Egg,>1 hour,11/11/13,,HI,Sphere,15 seconds,11/26/03,,IA,Triangle,120,11/21/10,,ID,Fireball,2 minutes X2,7/4/11,,IL,Oval,10 seconds,9/30/13,,IN,Fireball,15,5/15/13,,KS,Light,9:58-10:06,3/19/09,,KY,Fireball,30 sec-1min,7/6/11,,LA,Unknown,watched for 20 min.,8/5/09,,,,,,,,,,,,ME,Oval,30 minutes,6/3/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,Other,10 minutes,5/29/11,,NJ,Fireball,3 minutes,9/9/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Light,2 minutes,3/18/14,,,,,,,,,,,,,,,,,,,,,,TN,Unknown,3-5 seconds,2/18/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Triangle,1 minute,8/30/13,,,,,,,,,,
AK,Oval,30 secs,4/15/00,,AL,Triangle,5 minutes,5/29/11,,AR,Changing,15 Seconds,11/28/07,,AZ,Changing,Continuing,6/4/14,,CA,Rectangle,15 minutes,1/30/15,,CO,Rectangle,3 minutes,10/14/13,,CT,Oval,10 minutes,10/30/12,,,,,,,,,,,,FL,Light,1 minute,1/7/15,,GA,Other,30 seconds,11/11/13,,HI,Sphere,5 minutes,9/28/03,,IA,Light,Aprox. 10 minutes,11/21/10,,ID,Rectangle,3 minutes,7/4/11,,IL,Other,1.5 seconds,9/9/13,,IN,Light,Not sure,5/15/13,,KS,Light,90 minutes,3/19/09,,KY,Light,3 minutes,7/6/11,,LA,Light,30 min,8/5/09,,,,,,,,,,,,ME,Light,20 seconds,5/12/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,Light,8 mins,6/3/11,,NJ,Triangle,1 minute,9/9/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Light,4 minutes,2/27/14,,,,,,,,,,,,,,,,,,,,,,TN,Sphere,<5 minutes,2/18/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Diamond,2 minutes,8/30/13,,,,,,,,,,
AK,Cone,30-40 sec,2/23/00,,AL,Unknown,4 seconds,5/29/11,,,,,,,AZ,Unknown,5 seconds,6/4/14,,CA,Unknown,still there,1/30/15,,CO,Light,3 seconds,10/14/13,,CT,Formation,10 minutes,10/30/12,,,,,,,,,,,,FL,Fireball,2:00,1/7/15,,GA,Fireball,3,11/11/13,,HI,Circle,1 hour,9/24/03,,IA,Circle,,8/30/10,,ID,Light,20 minutes,7/4/11,,IL,Teardrop,90 seconds,9/9/13,,IN,Egg,a few seconds,4/12/13,,KS,Disk,30 to 40 seconds,1/10/09,,KY,Circle,1.5 min.,7/4/11,,LA,Flash,52 mins,8/5/09,,,,,,,,,,,,ME,Triangle,1 minute,3/18/14,,,,,,,,,,,,,,,,,MS,Cylinder,unknown,1/17/04,,,,,,,,,,,,,,,,,,,,,,NH,Sphere,10 seconds,5/12/10,,NJ,Other,few seconds,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Triangle,15 minutes,2/27/14,,,,,,,,,,,,,,,,,,,,,,TN,Fireball,5 minutes,2/28/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Rectangle,I was on way to my storag,8/30/13,,,,,,,,,,
AK,Light,2 seconds,3/6/15,,AL,Fireball,5 minutes,5/29/12,,,,,,,AZ,Circle,30 seconds,6/4/14,,CA,Fireball,3-4 minutes,1/30/15,,CO,Light,sky,10/14/13,,CT,Fireball,2 minutes,10/30/12,,,,,,,,,,,,FL,Triangle,2-3 minutes,1/7/15,,GA,Light,5 minutes,11/11/13,,HI,Flash,15-20 seconds,3/23/04,,IA,Diamond,30-45 mins didnt get to w,8/24/10,,ID,Sphere,1 minute,10/30/12,,IL,Fireball,5 minutes,9/9/13,,IN,Cigar,5-15 minutes,2/28/13,,KS,Circle,10 seconds,3/19/09,,KY,Light,10 minutes,7/4/11,,LA,Sphere,2 minutes,8/5/09,,,,,,,,,,,,ME,Circle,1 second,4/13/10,,,,,,,,,,,,,,,,,MS,Disk,5 min.,10/30/06,,,,,,,,,,,,,,,,,,,,,,NH,Changing,1hr and 30 min.,4/13/10,,NJ,Oval,3 minutes,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Triangle,1 minute,2/21/14,,,,,,,,,,,,,,,,,,,,,,TN,Sphere,10 seconds,2/18/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Fireball,10 minutes,8/30/13,,,,,,,,,,
AK,,10 minutes,2/16/00,,AL,Triangle,4-5 sec.,5/12/11,,AR,Unknown,1-2 days,3/4/08,,AZ,Fireball,10 minutes,6/4/14,,CA,Light,3-5 minutes,2/6/15,,CO,Circle,3 seconds,10/23/13,,CT,Rectangle,25 seconds,10/30/12,,,,,,,,,,,,FL,Fireball,4 minutes,1/7/15,,GA,Triangle,30 minutes,11/11/13,,HI,Circle,15minutes,12/9/03,,IA,Light,felt like 10 mins but tim,8/24/10,,ID,Unknown,2 minutes,5/12/11,,IL,Flash,30 minutes,9/9/13,,IN,Light,25-30 minutes,5/15/13,,KS,Oval,about 5 min,1/10/09,,KY,Sphere,7 mi,7/17/11,,LA,,65 mins,8/5/09,,,,,,,,,,,,ME,Circle,.4 sec,4/13/10,,,,,,,,,,,,,,,,,MS,Light,4-5hrs,1/17/04,,,,,,,,,,,,,,,,,,,,,,NH,Changing,1hr 30 min.,4/13/10,,NJ,Light,8 minutes,9/9/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Oval,2 minutes,1/30/15,,,,,,,,,,,,,,,,,,,,,,TN,Formation,4 minutes,2/28/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Triangle,90 seconds,9/30/13,,,,,,,,,,
AK,Circle,,11/30/99,,AL,Oval,20 minutes,5/2/11,,,,,,,AZ,Changing,~10 minutes,6/4/14,,CA,Light,2 minutes,1/26/15,,CO,Light,3-4 minutes,10/3/13,,CT,Sphere,5 minutes,10/30/12,,,,,,,,,,,,FL,Oval,90 seconds,1/7/15,,GA,Circle,2 minutes,11/11/13,,HI,Other,2 seconds,7/16/03,,IA,Unknown,5 mins,8/24/10,,ID,Triangle,5 min+or-,5/29/11,,IL,Fireball,5 minutes,9/9/13,,IN,Triangle,25 seconds,2/28/13,,KS,Disk,5 seconds,1/10/09,,KY,Light,about 3-4 minutes,7/4/11,,LA,Light,2-3 minutes,6/9/09,,,,,,,,,,,,ME,Sphere,1-3 hours,4/13/10,,,,,,,,,,,,,,,,,MS,Light,10sec,12/19/03,,,,,,,,,,,,,,,,,,,,,,NH,Light,5 minutes,4/13/10,,NJ,Circle,5-8 minutes,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Disk,Seconds,2/21/14,,,,,,,,,,,,,,,,,,,,,,TN,Triangle,1-2 minutes,6/2/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Triangle,90 seconds,9/30/13,,,,,,,,,,
AK,Light,3 min,10/19/99,,AL,Other,3 seconds,5/2/11,,,,,,,AZ,Rectangle,5 minutes,6/4/14,,CA,Cross,still going on,1/26/15,,CO,Disk,5 minutes,10/3/13,,CT,Circle,15 minutes,10/30/12,,,,,,,,,,,,FL,Circle,5-10 minutes,1/7/15,,GA,Circle,20 minutes,11/11/13,,HI,Cone,drive by,10/11/05,,IA,Diamond,2 minitues,7/28/10,,ID,Fireball,4 minutes,5/12/11,,IL,Formation,3-5 minutes,9/9/13,,IN,Light,20 seconds,5/15/13,,KS,Light,30-40 seconds,1/10/09,,KY,Sphere,10 seconds,7/6/11,,LA,Sphere,50 seconds,8/5/09,,,,,,,,,,,,ME,Unknown,20 seconds,2/8/11,,,,,,,,,,,,,,,,,MS,Other,,12/19/03,,,,,,,,,,,,,,,,,,,,,,NH,,,4/13/10,,NJ,Oval,10 minutes,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Circle,4 minutes,2/21/14,,,,,,,,,,,,,,,,,,,,,,TN,Triangle,30 seconds,2/18/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Diamond,6 minutes,8/30/13,,,,,,,,,,
AK,Light,3 min,11/26/03,,AL,Light,3 mins,3/13/12,,AR,Light,15 Seconds,10/8/07,,AZ,Other,5 seconds,6/4/14,,CA,Cone,still going,1/26/15,,CO,Triangle,90 minutes,10/3/13,,CT,Other,1+ hour,9/24/12,,,,,,,,,,,,FL,Circle,10 minutes,1/7/15,,GA,Triangle,~30 minutes,10/23/13,,HI,Unknown,2-3 seconds,3/21/03,,IA,Disk,30 min,7/19/10,,ID,Light,three minutes,5/2/11,,IL,Circle,30 seconds,8/30/13,,IN,Light,25 minutes,2/18/13,,KS,Light,10 min,1/10/09,,KY,Circle,every 10 to 15 minutes,7/4/11,,LA,Circle,about 15 minutes,8/5/09,,,,,,,,,,,,ME,Cylinder,3 plus hours,2/14/10,,,,,,,,,,,,,,,,,MS,Light,10 minutes,12/19/03,,,,,,,,,,,,,,,,,,,,,,NH,Chevron,half minute,4/13/10,,NJ,Unknown,2 minutes?,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Circle,2-5 seconds,2/14/14,,,,,,,,,,,,,,,,,,,,,,TN,Other,8 minutes,2/18/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Light,seconds,8/30/13,,,,,,,,,,
AK,Light,all week,9/12/99,,AL,Unknown,3 minutes,1/31/11,,AR,Light,5 min,10/8/07,,AZ,Disk,20 minutes,6/4/14,,CA,Circle,10 seconds,1/26/15,,CO,Changing,Hours,9/30/13,,CT,Light,5 minutes,9/24/12,,,,,,,,,,,,FL,Fireball,2,1/7/15,,GA,Other,3 minutes,11/11/13,,HI,Unknown,15 min,12/23/02,,IA,Sphere,5 minutes,8/24/10,,ID,Chevron,+/- 5 min.,5/2/11,,IL,Circle,2 minutes,8/30/13,,IN,Disk,30 seconds,2/4/13,,KS,Egg,<10sec,1/10/09,,KY,Fireball,split second,10/10/11,,LA,Circle,5 minutes,8/5/09,,,,,,,,,,,,ME,Triangle,@ 5 minutes,3/13/12,,,,,,,,,,,,,,,,,MS,Light,2 seconds,12/9/03,,,,,,,,,,,,,,,,,,,,,,NH,Light,2 seconds,2/14/10,,NJ,Light,2 minutes,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Light,20 seconds,6/4/14,,,,,,,,,,,,,,,,,,,,,,TN,Sphere,10 minutes,2/4/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Light,5 minutes,8/30/13,,,,,,,,,,
AK,Light,20 minutes,5/24/05,,AL,Flash,5 minutes,1/31/11,,AR,Chevron,5-7 Minutes,10/8/07,,AZ,Egg,5 minutes,6/4/14,,CA,Light,4,1/26/15,,CO,Circle,35-45 minutes,9/30/13,,CT,Fireball,3 minutes,9/24/12,,,,,,,,,,,,FL,Fireball,10 minutes,1/7/15,,GA,Sphere,1 minute,10/23/13,,HI,Fireball,2 sec,9/29/02,,IA,Changing,10 seconds,7/10/10,,ID,Light,3 minutes,5/29/11,,IL,Circle,2 minutes,8/30/13,,IN,Changing,1 hour,2/4/13,,KS,Sphere,2 minutes 10 seconds,10/31/08,,KY,Circle,1 hour,7/4/11,,LA,Sphere,4 to 5 minutes,8/5/09,,,,,,,,,,,,ME,Triangle,4-5 min,3/13/12,,,,,,,,,,,,,,,,,MS,Light,several hours,11/26/03,,,,,,,,,,,,,,,,,,,,,,NH,Circle,1-2 minutes,8/21/11,,NJ,Formation,10 minutes,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Light,20 minutes,2/14/14,,,,,,,,,,,,,,,,,,,,,,TN,Fireball,3 minutes,2/4/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Light,3 minutes,8/30/13,,,,,,,,,,
AK,Oval,5 sec,2/24/01,,AL,Teardrop,2 days,3/13/12,,AR,Light,10 minutes,10/8/07,,AZ,Diamond,5 minutes,6/4/14,,CA,Sphere,10 minutes,1/26/15,,CO,Triangle,,10/14/13,,CT,Oval,10 minutes,9/24/12,,,,,,,,,,,,FL,Oval,3 minutes,1/7/15,,GA,Circle,15 minutes,10/14/13,,HI,Circle,4 min.,9/29/04,,IA,Disk,10 Minutes,7/19/10,,ID,Other,30 sec,5/2/11,,IL,Triangle,2 minutes,8/30/13,,IN,Sphere,5 minutes,2/4/13,,KS,,2 minutes 10 seconds,10/31/08,,KY,Triangle,15 minutes,2/4/13,,LA,Changing,15-20 minutes,6/9/09,,,,,,,,,,,,ME,Light,3 to 5 minutes,12/12/09,,,,,,,,,,,,,,,,,MS,Triangle,4-5 seconds,12/12/09,,,,,,,,,,,,,,,,,,,,,,NH,Circle,3-5 seconds,2/14/10,,NJ,Triangle,10 minutes,9/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Light,2 minutes,2/7/14,,,,,,,,,,,,,,,,,,,,,,TN,Light,2 hours,2/4/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Chevron,5 seconds,8/30/13,,,,,,,,,,
AK,Flash,1-2 sec.,8/30/99,,AL,Circle,30 minutes,1/5/11,,AR,Circle,5 minutes,10/8/07,,AZ,Triangle,five minutes,6/4/14,,CA,Other,3 minutes,1/26/15,,CO,Unknown,15 seconds,9/30/13,,CT,Fireball,2 minutes,1/24/14,,,,,,,,,,,,FL,Light,5 minutes,1/7/15,,GA,Light,5 minutes,10/14/13,,HI,Light,3-5 minutes,9/6/02,,IA,Other,5 mins total,7/10/10,,ID,Oval,3-4 minutes,4/3/11,,IL,Fireball,3 minutes,8/30/13,,IN,Formation,3 hours,2/4/13,,KS,Changing,15 Minutes,10/31/08,,KY,Cigar,20 min,7/6/11,,LA,Light,1 minute,5/12/09,,,,,,,,,,,,ME,Other,30 minutes,12/12/09,,,,,,,,,,,,,,,,,MS,Changing,4 min,11/26/03,,,,,,,,,,,,,,,,,,,,,,NH,Triangle,3 minutes,12/12/09,,NJ,Disk,50 seconds,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Unknown,15 minutes,2/7/14,,,,,,,,,,,,,,,,,,,,,,TN,Sphere,3 minutes,2/4/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Formation,10 minutes,8/30/13,,,,,,,,,,
AK,Circle,7 seconds,8/30/99,,AL,Light,10 minutes,1/5/11,,AR,Rectangle,2 minutes,10/8/07,,AZ,Fireball,5 minutes,6/4/14,,CA,Oval,7 minutes,1/26/15,,CO,Sphere,5 minutes,9/30/13,,CT,Circle,5 to 10 minutes,9/24/12,,,,,,,,,,,,FL,Triangle,2 minutes +,1/7/15,,GA,Light,3-5 minutes,10/14/13,,HI,Light,approx. 1:00 minute,8/28/02,,IA,Fireball,5 to 15 min.,7/10/10,,ID,Fireball,30 minutes,5/29/11,,IL,Sphere,30 minutes,9/9/13,,IN,Unknown,40 seconds,2/4/13,,KS,Unknown,,10/31/08,,KY,Sphere,no more than 2 minutes,7/4/11,,LA,Triangle,1-2 minutes,5/12/09,,,,,,,,,,,,ME,Circle,5 minutes,12/12/09,,,,,,,,,,,,,,,,,MS,Disk,20-30 MIN,11/8/03,,,,,,,,,,,,,,,,,,,,,,NH,Light,4 minutes,12/12/09,,NJ,Diamond,10 seconds,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Other,15 minutes,2/7/14,,,,,,,,,,,,,,,,,,,,,,TN,,5 seconds,2/4/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Circle,5 minutes,8/30/13,,,,,,,,,,
AK,Unknown,not sure,4/1/00,,AL,Formation,20-30 MIN,1/5/11,,AR,,,10/8/07,,AZ,Other,8 seconds,6/4/14,,CA,Circle,20 minutes,1/26/15,,CO,Fireball,10 minutes,9/30/13,,CT,Unknown,15 minutes,9/24/12,,,,,,,,,,,,FL,Formation,2 minutes,1/7/15,,GA,Egg,10 minutes,4/11/14,,HI,Disk,1 &1/2 min.,8/28/02,,IA,Oval,4 Hours,7/6/10,,ID,Circle,5-25 seconds,1/31/11,,IL,Cylinder,1 minute,8/30/13,,IN,Triangle,2 minutes,2/4/13,,KS,Flash,35 sec,10/31/08,,KY,Sphere,approx 2 min,10/10/11,,LA,Rectangle,Jan-00,5/12/09,,,,,,,,,,,,ME,Light,3 hours,12/12/09,,,,,,,,,,,,,,,,,MS,Fireball,5 seconds?,11/8/03,,,,,,,,,,,,,,,,,,,,,,NH,Light,10 seconds,12/12/09,,NJ,Disk,20 minutes,8/30/13,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,Light,3 seconds,2/7/14,,,,,,,,,,,,,,,,,,,,,,TN,Unknown,5 minutes,2/4/13,,,,,,,,,,,,,,,,,,,,,,,,,,,WI,Light,5 minutes,8/30/13,,,,,,,,,,
